title,description,image_name,price,site_url
3D-принтер HeyGears ChairSide Pro в комплекте с УФ камерой,"ChairSide Pro - это профессиональная система DLP печати, созданная специально для стоматологий. Принтер вместе с собственной линейкой полимеров HeyGears подходит для изготовления любых конструкций, от съемных и несъемных протезов до изделий для ортодонтии.",ChairSide Pro.png,1045000,https://dilikat.ru/catalog/3d-printer-chairside-pro/
3D-принтер Creality HALOT-SKY 2022,"Halot Sky - представитель флагманской линейки фотополимерных принтеров от Creality. Принтер подходит как для творчества, так и для профессиональной деятельности, например для дентальной, архитектурной и других сфер.",Creality HALOT SKY.png,105000,https://dilikat.ru/catalog/3d-printer-creality-halot-sky-2022/
3D принтер Phrozen Sonic Mighty 8K,"Новый принтер от Phrozen пополнил линейку с разрешением 8K, и, помимо невероятного качества печати, также предоставляет пользователям большую область построения 218 х 123 х 235 мм. Mighty 8K, несмотря на компактные размеры, обеспечивает высокую производительность и позволяет массово производить изделия со сверхвысоким разрешением, независимо от размера или масштаба. Более того, интуитивно понятный интерфейс Sonic Mighty 8K делает его подходящим даже для новичков!",Phrozen Sonic Mighty 8K.jpg,99990,https://dilikat.ru/catalog/3d-printer-phrozen-sonic-mighty-8k/
